ref,fecha,distrito,superficie_m2,habitaciones,banos,planta,ascensor,estado,anio_construccion,exterior,precio_eur,desviacion_inyectada,etiqueta_verdad
MD-0001,2025-11-17,Villaverde,96,3,2,1,True,reformado,1972,True,227000,0.0,mercado
MD-0002,2026-08-14,Villa de Vallecas,187,6,3,2,True,buen estado,1966,True,667000,0.0,mercado
MD-0003,2025-11-22,Carabanchel,51,1,1,1,False,buen estado,1952,True,168000,0.0,mercado
MD-0004,2026-03-14,Villa de Vallecas,74,2,1,4,True,reformado,2014,False,379000,0.2543,sobreprecio_inyectado
MD-0005,2026-05-31,Moratalaz,43,1,1,7,True,a reformar,1973,True,87000,-0.2704,infraprecio_inyectado
MD-0006,2026-03-11,Centro,40,1,1,1,False,a reformar,1969,True,236000,0.0,mercado
MD-0007,2025-10-26,Puente de Vallecas,53,2,1,8,True,a reformar,1970,True,157000,0.0,mercado
MD-0008,2026-07-25,Centro,113,4,2,1,True,reformado,1970,True,814000,0.0,mercado
MD-0009,2025-10-14,San Blas-Canillejas,40,1,1,0,True,buen estado,1950,False,185000,0.2698,sobreprecio_inyectado
MD-0010,2025-12-25,Centro,59,2,1,7,False,a reformar,1977,True,360000,0.2713,sobreprecio_inyectado
MD-0011,2026-01-13,Puente de Vallecas,55,2,1,6,True,buen estado,1943,True,201000,0.2629,sobreprecio_inyectado
MD-0012,2026-04-24,Puente de Vallecas,41,1,1,3,True,obra nueva,2025,True,152000,0.0,mercado
MD-0013,2026-08-08,Latina,65,3,1,1,True,buen estado,1972,True,199000,0.0,mercado
MD-0014,2025-09-27,Tetuan,74,3,1,5,True,a reformar,1950,False,274000,0.0,mercado
MD-0015,2026-05-24,Carabanchel,99,3,2,3,True,buen estado,1983,True,334000,0.0,mercado
MD-0016,2025-11-18,Chamartin,34,2,1,5,True,buen estado,1989,False,168000,-0.2226,infraprecio_inyectado
MD-0017,2025-12-05,Latina,48,1,1,3,True,obra nueva,2024,False,227000,0.0,mercado
MD-0018,2026-01-16,Centro,46,2,1,4,False,a reformar,1946,True,258000,0.0,mercado
MD-0019,2026-08-14,Latina,65,2,1,7,True,buen estado,1991,False,217000,0.0,mercado
MD-0020,2025-12-23,Hortaleza,46,2,1,4,False,reformado,1957,True,268000,0.0,mercado
