barrio_id,barrio,anuncios,eur_m2_mediano,superficie_mediana
0-EU-ES-28-07-001-079-04-001,Recoletos,962,7439.85815602837,175.5
0-EU-ES-28-07-001-079-04-006,Castellana,1096,6522.5,160.0
0-EU-ES-28-07-001-079-07-004,Almagro,1243,6032.7868852459,160.0
0-EU-ES-28-07-001-079-01-004,Chueca-Justicia,1574,5743.97532292269,90.0
0-EU-ES-28-07-001-079-03-005,Jerónimos,454,5651.377290290415,152.0
0-EU-ES-28-07-001-079-04-002,Goya,2042,5647.36842105263,101.0
0-EU-ES-28-07-001-079-04-005,Lista,1374,5553.57142857143,107.0
0-EU-ES-28-07-001-079-05-001,El Viso,748,5503.877995642704,171.0
0-EU-ES-28-07-001-079-07-003,Trafalgar,1117,5320.0,87.0
0-EU-ES-28-07-001-079-01-003,Huertas-Cortes,1087,5250.0,105.0
0-EU-ES-28-07-001-079-03-004,Ibiza,956,5226.354679802955,102.0
0-EU-ES-28-07-001-079-05-005,Nueva España,933,5206.18556701031,138.0
0-EU-ES-28-07-001-079-01-006,Sol,875,5159.09090909091,110.0
0-EU-ES-28-07-001-079-07-002,Arapiles,1115,5109.09090909091,80.0
0-EU-ES-28-07-001-079-07-005,Nuevos Ministerios-Ríos Rosas,1058,5025.487012987015,106.5
0-EU-ES-28-07-001-079-01-005,Malasaña-Universidad,2577,4976.37795275591,68.0
0-EU-ES-28-07-001-079-05-004,Bernabéu-Hispanoamérica,1104,4969.201610992655,110.0
0-EU-ES-28-07-001-079-16-002,Conde Orgaz-Piovera,347,4957.14285714286,140.0
0-EU-ES-28-07-001-079-01-001,Palacio,1802,4837.9075768238345,85.0
0-EU-ES-28-07-001-079-07-001,Gaztambide,1141,4824.56140350877,114.0
0-EU-ES-28-07-001-079-09-002,Argüelles,1190,4711.68831168831,125.0
0-EU-ES-28-07-001-079-03-006,Niño Jesús,468,4627.91673221121,129.5
0-EU-ES-28-07-001-079-07-006,Vallehermoso,621,4510.63829787234,146.0
0-EU-ES-28-07-001-079-09-005,Valdemarín,293,4471.15384615385,173.0
0-EU-ES-28-07-001-079-08-008,Montecarmelo,269,4430.0,121.0
0-EU-ES-28-07-001-079-01-002,Lavapiés-Embajadores,3715,4310.67961165049,57.0
0-EU-ES-28-07-001-079-05-003,Ciudad Jardín,579,4290.90909090909,86.0
0-EU-ES-28-07-001-079-16-001,Palomas,122,4280.868902439025,168.5
0-EU-ES-28-07-001-079-04-003,Fuente del Berro,848,4275.9907359753,82.5
0-EU-ES-28-07-001-079-02-004,Legazpi,419,4269.84126984127,95.0
0-EU-ES-28-07-001-079-08-009,Las Tablas,323,4250.0,104.0
0-EU-ES-28-07-001-079-04-004,Guindalera,1779,4234.56790123457,88.0
0-EU-ES-28-07-001-079-05-006,Castilla,541,4226.66666666667,123.0
0-EU-ES-28-07-001-079-06-002,Cuatro Caminos,1291,4191.48936170213,94.0
0-EU-ES-28-07-001-079-05-002,Prosperidad,1190,4173.572938689215,87.0
0-EU-ES-28-07-001-079-16-008,Sanchinarro,550,4161.036668538874,108.0
0-EU-ES-28-07-001-079-15-007,Colina,198,4152.827558741535,90.0
0-EU-ES-28-07-001-079-03-002,Adelfas,500,4145.16129032258,96.5
0-EU-ES-28-07-001-079-15-008,Atalaya,80,4138.936535162949,97.5
0-EU-ES-28-07-001-079-06-003,Cuzco-Castillejos,845,4116.27906976744,95.0
0-EU-ES-28-07-001-079-09-003,Ciudad Universitaria,400,4076.223776223775,133.0
0-EU-ES-28-07-001-079-15-009,Costillares,552,4053.635242065855,136.0
0-EU-ES-28-07-001-079-02-002,Acacias,842,4053.045923149015,86.0
0-EU-ES-28-07-001-079-08-010,Arroyo del Fresno,80,4037.045252883765,111.0
0-EU-ES-28-07-001-079-03-003,Estrella,515,4028.90173410405,105.0
0-EU-ES-28-07-001-079-02-006,Palos de Moguer,995,4013.33333333333,70.0
0-EU-ES-28-07-001-079-03-001,Pacífico,1009,4000.0,90.0
0-EU-ES-28-07-001-079-21-005,Campo de las Naciones-Corralejos,158,3983.636363636365,110.0
0-EU-ES-28-07-001-079-02-001,Imperial,559,3950.0,80.0
0-EU-ES-28-07-001-079-09-007,Aravaca,612,3947.36842105263,115.0
0-EU-ES-28-07-001-079-15-006,San Juan Bautista,296,3901.851851851855,108.0
0-EU-ES-28-07-001-079-02-005,Delicias,800,3896.29859387924,80.0
0-EU-ES-28-07-001-079-08-007,Mirasierra,239,3857.92349726776,205.0
0-EU-ES-28-07-001-079-16-006,Valdebebas - Valdefuentes,411,3758.33333333333,146.0
0-EU-ES-28-07-001-079-09-006,El Plantío,43,3716.66666666667,150.0
0-EU-ES-28-07-001-079-09-001,Casa de Campo,381,3714.28571428571,92.0
0-EU-ES-28-07-001-079-02-003,Chopera,733,3695.2380952381,73.0
0-EU-ES-28-07-001-079-08-005,La Paz,457,3566.66666666667,130.0
0-EU-ES-28-07-001-079-15-005,San Pascual,459,3533.33333333333,82.0
0-EU-ES-28-07-001-079-08-002,Fuentelarreina,119,3435.0,200.0
0-EU-ES-28-07-001-079-08-003,Peñagrande,726,3347.92663476874,92.0
0-EU-ES-28-07-001-079-06-001,Bellas Vistas,1141,3340.0,60.0
0-EU-ES-28-07-001-079-16-007,Virgen del Cortijo - Manoteras,330,3339.802631578945,95.0
0-EU-ES-28-07-001-079-15-004,Concepción,531,3250.0,77.0
0-EU-ES-28-07-001-079-20-008,Salvador,221,3244.68085106383,95.0
0-EU-ES-28-07-001-079-06-004,Ventilla-Almenara,524,3215.95124536301,78.0
0-EU-ES-28-07-001-079-08-004,Pilar,744,3172.1240471240453,65.0
0-EU-ES-28-07-001-079-21-001,Alameda de Osuna,299,3155.91397849462,110.0
0-EU-ES-28-07-001-079-16-003,Canillas,679,3155.1724137931,89.0
0-EU-ES-28-07-001-079-21-004,Timón,179,3109.75609756098,85.0
0-EU-ES-28-07-001-079-14-002,Horcajo,44,3092.307692307695,114.5
0-EU-ES-28-07-001-079-20-006,Rejas,635,3068.18181818182,93.0
0-EU-ES-28-07-001-079-09-004,Valdezarza,602,3034.21052631579,75.0
0-EU-ES-28-07-001-079-20-005,Rosas,432,3020.18018018018,100.0
0-EU-ES-28-07-001-079-06-006,Berruguete,962,3010.25641025641,65.0
0-EU-ES-28-07-001-079-06-005,Valdeacederas,1112,3000.0,69.0
0-EU-ES-28-07-001-079-11-008,Pau de Carabanchel,354,2924.505928853755,85.0
0-EU-ES-28-07-001-079-21-003,Casco Histórico de Barajas,217,2870.96774193548,75.0
0-EU-ES-28-07-001-079-16-004,Pinar del Rey,960,2764.17112299465,78.0
0-EU-ES-28-07-001-079-15-003,Quintana,733,2705.26315789474,74.0
0-EU-ES-28-07-001-079-14-003,Marroquina,274,2700.0,92.5
0-EU-ES-28-07-001-079-18-003,Ensanche de Vallecas - La Gavia,1211,2591.66666666667,87.0
0-EU-ES-28-07-001-079-19-003,Valdebernardo - Valderribas,220,2557.99755799756,105.0
0-EU-ES-28-07-001-079-15-001,Ventas,1138,2547.52688172043,70.0
0-EU-ES-28-07-001-079-14-004,Media Legua,186,2461.594202898555,82.0
0-EU-ES-28-07-001-079-16-005,Apóstol Santiago,258,2445.2991452991446,81.5
0-EU-ES-28-07-001-079-10-002,Puerta del Ángel,1184,2438.35616438356,70.0
0-EU-ES-28-07-001-079-11-001,Comillas,618,2424.5014245014254,80.0
0-EU-ES-28-07-001-079-15-002,Pueblo Nuevo,1739,2418.18181818182,71.0
0-EU-ES-28-07-001-079-08-001,El Pardo,31,2397.95918367347,85.0
0-EU-ES-28-07-001-079-08-006,Tres Olivos - Valverde,540,2361.159420289855,81.0
0-EU-ES-28-07-001-079-14-006,Vinateros,293,2342.46575342466,73.0
0-EU-ES-28-07-001-079-20-001,Simancas,912,2320.377358490565,72.0
0-EU-ES-28-07-001-079-10-006,Cuatro Vientos,22,2310.9890109890102,72.0
0-EU-ES-28-07-001-079-11-002,Opañel,928,2204.4159544159547,75.0
0-EU-ES-28-07-001-079-14-001,Pavones,123,2181.81818181818,90.0
0-EU-ES-28-07-001-079-10-003,Lucero,811,2177.77777777778,77.0
0-EU-ES-28-07-001-079-10-001,Los Cármenes,374,2163.69047619048,79.0
0-EU-ES-28-07-001-079-14-005,Fontarrón,349,2161.29032258065,76.0
0-EU-ES-28-07-001-079-20-007,Canillejas,564,2141.17647058824,77.0
0-EU-ES-28-07-001-079-10-005,Campamento,308,2141.0488245931247,70.0
0-EU-ES-28-07-001-079-10-004,Aluche,1290,2133.8308457711446,79.0
0-EU-ES-28-07-001-079-12-005,Moscardó,740,2125.0,77.0
0-EU-ES-28-07-001-079-11-003,San Isidro,1078,2065.591397849465,72.0
0-EU-ES-28-07-001-079-18-002,Santa Eugenia,405,2053.76344086022,93.0
0-EU-ES-28-07-001-079-19-004,El Cañaveral - Los Berrocales,453,2048.54368932039,105.0
0-EU-ES-28-07-001-079-11-004,Vista Alegre,1183,2014.49275362319,74.0
0-EU-ES-28-07-001-079-12-004,Almendrales,464,2005.2083333333348,75.0
